Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
854,588,716,1064,1225,77,22,Pointe Coupee Parish,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",Pointe Coupee Parish,22802,LA
650,511,514,810,869,111,1,Randolph County,NCNTY01111N01111,"Randolph County, AL",Randolph County,22913,AL
811,572,684,1065,1198,7,1,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22915,AL
768,544,569,957,1026,219,48,Hockley County,NCNTY48219N48219,"Hockley County, TX",Hockley County,22935,TX
637,379,472,939,1128,31,16,Cassia County,NCNTY16031N16031,"Cassia County, ID",Cassia County,22952,ID
748,486,613,942,1109,175,20,Seward County,NCNTY20175N20175,"Seward County, KS",Seward County,22952,KS
984,715,806,1226,1467,1,44,Bristol County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Bristol town,22954,RI
868,567,673,1131,1283,83,17,Jersey County,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",Jersey County,22985,IL
599,451,454,794,801,19,5,Clark County,NCNTY05019N05019,"Clark County, AR",Clark County,22995,AR
1010,688,815,1268,1534,75,22,Plaquemines Parish,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",Plaquemines Parish,23042,LA
782,506,598,986,1046,1,23,Androscoggin County,METRO30340M30340,"Lewiston-Auburn, ME MSA",Auburn city,23055,ME
576,462,486,849,1020,99,1,Monroe County,NCNTY01099N01099,"Monroe County, AL",Monroe County,23068,AL
628,465,468,925,951,119,29,McDonald County,METRO22220N29119,"McDonald County, MO HUD Metro FMR Area",McDonald County,23083,MO
1025,641,792,1504,1744,39,8,Elbert County,METRO19740M19740,"Denver-Aurora-Broomfield, CO MSA",Elbert County,23086,CO
784,472,591,1086,1196,47,18,Franklin County,METRO17140M17140,"Cincinnati-Middleton, OH-KY-IN HUD Metro FMR Area",Franklin County,23087,IN
1360,975,1075,1938,1945,5,25,Bristol County,METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",Easton town,23112,MA
1219,927,933,1555,1647,23,25,Plymouth County,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",Middleborough town,23116,MA
785,486,580,1157,1223,7,48,Aransas County,METRO18580N48007,"Aransas County, TX HUD Metro FMR Area",Aransas County,23158,TX
648,454,504,848,959,169,51,Scott County,METRO28700M28700,"Kingsport-Bristol-Bristol, TN-VA MSA",Scott County,23177,VA
1128,822,867,1405,1507,5,25,Bristol County,METRO39300MM1120,"Taunton-Mansfield-Norton, MA HUD Metro FMR Area",Mansfield town,23184,MA
419,330,338,545,636,133,72,Santa Isabel Municipio,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,Santa Isabel Municipio,23274,PR
